               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073103,             0.03057,            0.040504,           0.0033625,             0.98394,            0.033196,           0.0082487,            0.035613,            0.020109,            0.025527,             0.07012,           0.0033199,           0.0033199
                   1,            0.048332,            0.024563,            0.033023,             0.40363,             0.29663,             0.40471,             0.12716,            0.035429,            0.011789,            0.018554,            0.040055,           0.0065874,           0.0065874
                   2,            0.048499,            0.018676,            0.028637,              0.4851,             0.51525,             0.40433,             0.18944,            0.042358,           0.0086595,            0.014436,           0.0099227,           0.0097889,           0.0097889
                   3,            0.046549,            0.015749,            0.023486,             0.45878,             0.78132,             0.60605,             0.29779,            0.034809,           0.0070659,            0.010193,            0.009703,            0.009703,            0.009703
                   4,            0.042587,            0.013591,            0.018027,             0.72451,             0.88735,             0.84017,             0.40575,            0.033847,            0.006255,           0.0052027,            0.009703,            0.009703,            0.009703
                   5,             0.03959,            0.012391,            0.013597,             0.71865,             0.91007,              0.7933,             0.45485,            0.028157,           0.0056565,           0.0038767,            0.009604,            0.009604,            0.009604
                   6,            0.037554,            0.011253,            0.012483,             0.69151,             0.93778,              0.8796,             0.51154,            0.023748,           0.0053189,           0.0028499,            0.009505,            0.009505,            0.009505
                   7,             0.03355,            0.011126,            0.010927,             0.70425,             0.95173,             0.87613,             0.46753,            0.023777,           0.0049395,           0.0024964,            0.009406,            0.009406,            0.009406
                   8,             0.03134,            0.010426,           0.0091964,             0.85561,             0.93491,             0.91924,              0.5433,            0.023779,           0.0048594,           0.0021074,            0.009307,            0.009307,            0.009307
                   9,            0.031467,            0.010309,            0.007361,             0.91054,             0.95614,             0.95165,             0.52836,            0.021732,           0.0046645,           0.0022769,            0.009208,            0.009208,            0.009208
                  10,            0.028881,           0.0096323,            0.007554,             0.92452,             0.98202,             0.97872,             0.66503,            0.017406,           0.0044784,           0.0021297,            0.009109,            0.009109,            0.009109
                  11,            0.027342,            0.010193,           0.0073818,             0.97058,             0.98503,             0.99004,             0.72184,            0.014946,           0.0042519,           0.0020788,             0.00901,             0.00901,             0.00901
                  12,            0.026239,           0.0095204,           0.0061598,             0.99586,             0.99738,              0.9949,              0.7112,            0.017592,            0.004155,           0.0017613,            0.008911,            0.008911,            0.008911
                  13,            0.026749,           0.0091827,            0.006513,             0.88037,              0.9954,             0.98247,             0.73394,            0.017014,           0.0040421,           0.0015799,            0.008812,            0.008812,            0.008812
                  14,            0.024667,           0.0089175,           0.0060051,             0.90171,             0.99193,             0.98436,             0.78892,            0.012371,           0.0038736,           0.0016034,            0.008713,            0.008713,            0.008713
                  15,            0.025083,           0.0091419,           0.0056227,             0.92445,             0.97543,             0.98911,             0.71256,             0.01614,           0.0041339,           0.0013336,            0.008614,            0.008614,            0.008614
                  16,            0.024881,           0.0082857,           0.0050449,             0.90592,             0.99065,             0.98917,             0.74172,            0.014787,           0.0040655,           0.0015957,            0.008515,            0.008515,            0.008515
                  17,            0.026298,           0.0091546,           0.0048198,             0.99195,             0.99582,             0.99492,             0.79509,            0.012787,           0.0038727,           0.0016859,            0.008416,            0.008416,            0.008416
                  18,             0.02444,           0.0082385,           0.0054994,             0.96758,             0.99577,             0.98989,             0.74807,            0.016662,            0.003903,           0.0015675,            0.008317,            0.008317,            0.008317
                  19,            0.024181,           0.0087084,           0.0048216,             0.99129,             0.99618,             0.99474,             0.73675,            0.013153,           0.0038333,           0.0014327,            0.008218,            0.008218,            0.008218
                  20,            0.022445,           0.0082943,           0.0055607,             0.91032,             0.98832,             0.97794,             0.79327,            0.013596,           0.0038143,           0.0014313,            0.008119,            0.008119,            0.008119
                  21,            0.022149,            0.008331,           0.0050323,             0.98989,             0.99672,             0.99498,             0.76301,            0.013533,           0.0039708,           0.0011804,             0.00802,             0.00802,             0.00802
                  22,            0.022337,           0.0084312,           0.0051789,              0.9976,             0.99836,               0.995,             0.80007,            0.011151,           0.0036885,           0.0011418,            0.007921,            0.007921,            0.007921
                  23,            0.021123,           0.0084634,           0.0044345,             0.99602,             0.99937,               0.995,             0.81397,            0.010279,           0.0036408,           0.0011989,            0.007822,            0.007822,            0.007822
                  24,            0.021857,           0.0082953,           0.0047349,             0.93458,              0.9962,             0.96527,              0.7721,            0.012152,           0.0038957,           0.0011202,            0.007723,            0.007723,            0.007723
                  25,             0.02041,           0.0079416,           0.0042379,              0.9952,             0.99811,             0.99466,             0.79326,            0.012166,           0.0036657,           0.0013473,            0.007624,            0.007624,            0.007624
                  26,              0.0206,           0.0083156,           0.0042132,             0.99517,               0.998,             0.99488,             0.82668,            0.013219,           0.0036617,            0.001226,            0.007525,            0.007525,            0.007525
                  27,            0.020329,           0.0076932,           0.0035041,             0.99594,             0.99691,               0.995,              0.7951,            0.012322,           0.0035651,           0.0011105,            0.007426,            0.007426,            0.007426
                  28,            0.021063,           0.0079524,            0.004219,             0.99722,             0.99964,               0.995,             0.82491,           0.0095718,           0.0034905,           0.0010307,            0.007327,            0.007327,            0.007327
